time_for_pred,used_model_params,used_fe_spec,used_features_count,selected_next_score
2002-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.5682615549506658
2002-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,3.133366958929831
2002-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,2.8813770294336676
2002-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.24668520745338895
2002-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.6447439485588473
2002-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.8047143925730789
2002-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.6346886946885886
2003-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.4299109594704569
2003-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.005172036761369188
2003-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.4386453192358023
2003-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.5047456463918023
2003-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.8506847761372345
2003-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.05681191167417482
2003-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.9501474532498078
2003-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.5758252750078432
2003-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.06472229631877269
2003-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,2.0742929305249866
2003-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.12135808377044088
2003-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.7219133906729975
2004-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.13074238634013327
2004-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.3132064545332613
2004-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.3146436363143752
2004-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.0407668901256284
2004-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.4816169097703097
2004-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.455363586299358
2004-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.33037482917207195
2004-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.40091107725956154
2004-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.02581147315516894
2004-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.16703203654703713
2004-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.20528948846707
2004-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.43542234438241306
2005-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.1134918955479227
2005-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.0717853154630852
2005-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.052147923745198166
2005-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.8114072143636775
2005-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.3956671429632521
2005-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.2220164808701695
2005-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.0253669589762497
2005-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,2.5227912093658125
2005-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,2.324870390085518
2005-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.7725841261329749
2005-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.1763855522535158
2005-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.27077165985962043
2006-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.17930561056099592
2006-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.2680674635482958
2006-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.7940614215904649
2006-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,3.650905155051361
2006-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.31748503849195553
2006-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.5272566292646945
2006-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.10175202776978742
2006-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.34078865897939575
2006-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.20654289465899345
2006-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.5737124418795476
2006-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.5575018040144073
2006-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.14282149211474482
2007-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.5058813950653662
2007-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.23021299942522455
2007-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.017937099537099113
2007-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.2854736883536786
2007-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.7695361541024925
2007-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.3149433544686281
2007-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.26882342035040746
2007-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.2815436355644201
2007-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.459725826626782
2007-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.4257115447013027
2007-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.42269162493682977
2007-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.2499071711475015
2008-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.43371311539312885
2008-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.8464363498979613
