block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block3,elastic_net,1,52,1.3989663437669235,20,220,221,240
block3,elastic_net,2,59,1.3909455775852109,20,220,221,240
block3,elastic_net,3,164,2.962573828593152,20,220,221,240
block3,elastic_net,4,199,2.9904446803046083,20,220,221,240
block3,elastic_net,5,206,2.8650655476019065,20,220,221,240
block3,elastic_net,6,234,1.3666163486379899,20,220,221,240
block3,elastic_net,7,639,1.658653494477271,20,220,221,240
block3,elastic_net,8,640,1.4252962221586238,20,220,221,240
block3,elastic_net,9,654,1.5778289685433746,20,220,221,240
block3,elastic_net,10,673,1.7058642092429495,20,220,221,240
block3,elastic_net,11,1109,1.3469557429234378,20,220,221,240
block3,elastic_net,12,1480,1.7901318409700813,20,220,221,240
block3,elastic_net,13,1487,1.7697357774168334,20,220,221,240
block3,elastic_net,14,1494,1.770502586234902,20,220,221,240
block3,elastic_net,15,1515,2.0502154825365904,20,220,221,240
block3,elastic_net,16,1522,2.2008341303027676,20,220,221,240
block3,elastic_net,17,1529,2.1237414068681897,20,220,221,240
