block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block2,elastic_net,103,864,2.380381356468253,20,200,201,220
block2,elastic_net,104,871,2.4220033889920765,20,200,201,220
block2,elastic_net,105,879,2.3617460850067435,20,200,201,220
block2,elastic_net,106,892,2.2090862871297343,20,200,201,220
block2,elastic_net,107,899,2.234602068090294,20,200,201,220
block2,elastic_net,108,906,2.2679044307405043,20,200,201,220
block2,elastic_net,109,913,2.4228203254107514,20,200,201,220
block2,elastic_net,110,920,2.459991967547921,20,200,201,220
block2,elastic_net,111,927,2.496518280021378,20,200,201,220
block2,elastic_net,112,934,2.5146569998267347,20,200,201,220
block2,elastic_net,113,941,2.549792915117602,20,200,201,220
block2,elastic_net,114,948,2.5408856507108557,20,200,201,220
block2,elastic_net,115,949,2.597401116461166,20,200,201,220
block2,elastic_net,116,955,2.5700443881583976,20,200,201,220
block2,elastic_net,117,962,2.5940561166071756,20,200,201,220
block2,elastic_net,118,969,2.6203103029097705,20,200,201,220
block2,elastic_net,119,976,2.6364106664472833,20,200,201,220
block2,elastic_net,120,982,3.481431704087925,20,200,201,220
block2,elastic_net,121,983,3.3875007177229914,20,200,201,220
block2,elastic_net,122,984,3.0024001307524886,20,200,201,220
block2,elastic_net,123,989,3.447816160634434,20,200,201,220
block2,elastic_net,124,990,3.1006188803963717,20,200,201,220
block2,elastic_net,125,996,3.4142623624285866,20,200,201,220
block2,elastic_net,126,997,2.8665165466631244,20,200,201,220
block2,elastic_net,127,1003,3.381125060360928,20,200,201,220
block2,elastic_net,128,1004,2.6907585166217616,20,200,201,220
block2,elastic_net,129,1011,2.5367977604656713,20,200,201,220
block2,elastic_net,130,1018,3.4021051274203735,20,200,201,220
block2,elastic_net,131,1019,3.051738476346696,20,200,201,220
block2,elastic_net,132,1025,3.076446209901915,20,200,201,220
block2,elastic_net,133,1032,2.858277037129853,20,200,201,220
block2,elastic_net,134,1039,2.675810142133058,20,200,201,220
block2,elastic_net,135,1046,2.5423415046326747,20,200,201,220
block2,elastic_net,136,1081,2.3092617882825075,20,200,201,220
