block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block2,elastic_net,69,184,2.6799983626589627,20,200,201,220
block2,elastic_net,70,185,2.4244937501603023,20,200,201,220
block2,elastic_net,71,189,2.7164042160865,20,200,201,220
block2,elastic_net,72,190,2.709117189173889,20,200,201,220
block2,elastic_net,73,191,2.6465359453730763,20,200,201,220
block2,elastic_net,74,192,2.26393235935059,20,200,201,220
block2,elastic_net,75,196,2.716018496395849,20,200,201,220
block2,elastic_net,76,197,2.7056423010340382,20,200,201,220
block2,elastic_net,77,198,2.6135280403584127,20,200,201,220
block2,elastic_net,78,199,2.176035665195277,20,200,201,220
block2,elastic_net,79,203,2.7156325654028723,20,200,201,220
block2,elastic_net,80,204,2.7021967852727404,20,200,201,220
block2,elastic_net,81,205,2.5810359935593987,20,200,201,220
block2,elastic_net,82,206,2.1285382818249783,20,200,201,220
block2,elastic_net,83,234,2.157803178173939,20,200,201,220
block2,elastic_net,84,241,2.2335219422886063,20,200,201,220
block2,elastic_net,85,284,2.5759734714156974,20,200,201,220
block2,elastic_net,86,297,2.618034279176856,20,200,201,220
block2,elastic_net,87,304,2.63698994737499,20,200,201,220
block2,elastic_net,88,311,2.642116223814419,20,200,201,220
block2,elastic_net,89,319,2.6403138338562147,20,200,201,220
block2,elastic_net,90,326,2.632903785328943,20,200,201,220
block2,elastic_net,91,339,2.6309759067488607,20,200,201,220
block2,elastic_net,92,346,2.634594881551058,20,200,201,220
block2,elastic_net,93,479,2.2095804303776987,20,200,201,220
block2,elastic_net,94,486,2.2714665291857106,20,200,201,220
block2,elastic_net,95,639,1.7052490788070254,20,200,201,220
block2,elastic_net,96,640,1.7705859244821212,20,200,201,220
block2,elastic_net,97,654,2.0338542539751714,20,200,201,220
block2,elastic_net,98,661,2.196814329444629,20,200,201,220
block2,elastic_net,99,673,1.6983738300595799,20,200,201,220
block2,elastic_net,100,844,2.385814219220492,20,200,201,220
block2,elastic_net,101,850,2.375161504981347,20,200,201,220
block2,elastic_net,102,857,2.3466356762231286,20,200,201,220
