t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,svr_with_target,1,1.6489967466923043,1,2,2,0.0,True,decayed_best,24,0.97
240,svr_with_target,2,1.6027783176719281,1,2,2,0.028028211161171157,True,decayed_best,24,0.97
240,svr_with_target,3,1.6441337689396711,1,2,2,0.0,True,decayed_best,24,0.97
240,svr_with_target,4,2.0929387453156716,1,2,2,0.0,True,decayed_best,24,0.97
240,svr_with_target,5,2.1008318296158723,1,2,2,0.0,True,decayed_best,24,0.97
241,svr_with_target,1,1.166087846801422,2,2,2,0.0,False,decayed_best,24,0.97
241,svr_with_target,2,1.1429192195537512,2,2,2,0.0,False,decayed_best,24,0.97
241,svr_with_target,3,1.1704175623261488,2,2,2,0.0,False,decayed_best,24,0.97
241,svr_with_target,4,1.4873662666029341,2,2,2,0.0,False,decayed_best,24,0.97
241,svr_with_target,5,1.4930270268929662,2,2,2,0.0,False,decayed_best,24,0.97
242,svr_with_target,1,1.5089600245241508,3,1,1,0.013579198669874226,True,decayed_best,24,0.97
242,svr_with_target,2,1.5297325669627142,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_with_target,3,1.5493246483628424,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_with_target,4,1.9439405837731987,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_with_target,5,1.9471329860883722,3,1,1,0.0,True,decayed_best,24,0.97
243,svr_with_target,1,1.4859633363447553,4,1,1,0.0,False,decayed_best,24,0.97
243,svr_with_target,2,1.5027734496965846,4,1,1,0.0,False,decayed_best,24,0.97
243,svr_with_target,3,1.5230772566406998,4,1,1,0.0,False,decayed_best,24,0.97
243,svr_with_target,4,1.8393791778811948,4,1,1,0.0,False,decayed_best,24,0.97
243,svr_with_target,5,1.8425363841373803,4,1,1,0.0,False,decayed_best,24,0.97
244,svr_with_target,1,1.8390643861375144,5,1,1,0.0,False,decayed_best,24,0.97
244,svr_with_target,2,1.8710828372994337,5,1,1,0.0,False,decayed_best,24,0.97
244,svr_with_target,3,1.8780721637758877,5,1,1,0.0,False,decayed_best,24,0.97
244,svr_with_target,4,2.05119319122713,5,1,1,0.0,False,decayed_best,24,0.97
244,svr_with_target,5,2.0520793129349313,5,1,1,0.0,False,decayed_best,24,0.97
245,svr_with_target,1,1.6677218158671574,6,1,1,0.0,False,decayed_best,24,0.97
245,svr_with_target,2,1.6947428245478775,6,1,1,0.0,False,decayed_best,24,0.97
245,svr_with_target,3,1.7010705927504435,6,1,1,0.0,False,decayed_best,24,0.97
245,svr_with_target,4,1.8579404878720212,6,1,1,0.0,False,decayed_best,24,0.97
245,svr_with_target,5,1.8587955456256684,6,1,1,0.0,False,decayed_best,24,0.97
246,svr_with_target,1,1.9197155981804728,7,1,1,0.0,False,decayed_best,24,0.97
246,svr_with_target,2,1.926350059298695,7,1,1,0.0,False,decayed_best,24,0.97
246,svr_with_target,3,1.933525940174869,7,1,1,0.0,False,decayed_best,24,0.97
246,svr_with_target,4,2.102758616146744,7,1,1,0.0,False,decayed_best,24,0.97
246,svr_with_target,5,2.1051998670347456,7,1,1,0.0,False,decayed_best,24,0.97
247,svr_with_target,1,1.8556450148546417,8,1,1,0.0,False,decayed_best,24,0.97
247,svr_with_target,2,1.8760215482023632,8,1,1,0.0,False,decayed_best,24,0.97
247,svr_with_target,3,1.882280955148053,8,1,1,0.0,False,decayed_best,24,0.97
247,svr_with_target,4,2.0432882154776353,8,1,1,0.0,False,decayed_best,24,0.97
247,svr_with_target,5,2.0456855658889617,8,1,1,0.0,False,decayed_best,24,0.97
248,svr_with_target,1,2.0855849003895806,9,2,2,0.0,True,decayed_best,24,0.97
248,svr_with_target,2,2.0630291514268815,9,2,2,0.01081507109036206,True,decayed_best,24,0.97
248,svr_with_target,3,2.0759804746463435,9,2,2,0.0,True,decayed_best,24,0.97
248,svr_with_target,4,2.342764795694261,9,2,2,0.0,True,decayed_best,24,0.97
248,svr_with_target,5,2.342612048667588,9,2,2,0.0,True,decayed_best,24,0.97
249,svr_with_target,1,1.9629107420866314,10,2,2,0.0,False,decayed_best,24,0.97
249,svr_with_target,2,1.9416520378669517,10,2,2,0.0,False,decayed_best,24,0.97
249,svr_with_target,3,1.9538493969812905,10,2,2,0.0,False,decayed_best,24,0.97
249,svr_with_target,4,2.2064787288889525,10,2,2,0.0,False,decayed_best,24,0.97
249,svr_with_target,5,2.2062608644969077,10,2,2,0.0,False,decayed_best,24,0.97
250,svr_with_target,1,1.907633377460212,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_with_target,2,1.8760981483737187,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_with_target,3,1.886644002652558,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_with_target,4,2.144501536636794,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_with_target,5,2.1439297831304556,11,2,2,0.0,False,decayed_best,24,0.97
251,svr_with_target,1,1.9350674060398663,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_with_target,2,1.8919061075175345,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_with_target,3,1.8995141135194717,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_with_target,4,2.165763883539423,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_with_target,5,2.164565371065484,12,2,2,0.0,False,decayed_best,24,0.97
252,svr_with_target,1,1.8541931082811023,13,2,2,0.0,False,decayed_best,24,0.97
252,svr_with_target,2,1.8150398918401065,13,2,2,0.0,False,decayed_best,24,0.97
252,svr_with_target,3,1.8222363456999238,13,2,2,0.0,False,decayed_best,24,0.97
252,svr_with_target,4,2.0683002975859064,13,2,2,0.0,False,decayed_best,24,0.97
252,svr_with_target,5,2.067236088661854,13,2,2,0.0,False,decayed_best,24,0.97
253,svr_with_target,1,1.94286864806315,14,2,2,0.0,False,decayed_best,24,0.97
253,svr_with_target,2,1.8885988847025805,14,2,2,0.0,False,decayed_best,24,0.97
253,svr_with_target,3,1.8947129245524288,14,2,2,0.0,False,decayed_best,24,0.97
253,svr_with_target,4,2.1224256672170334,14,2,2,0.0,False,decayed_best,24,0.97
253,svr_with_target,5,2.1216637716368187,14,2,2,0.0,False,decayed_best,24,0.97
254,svr_with_target,1,2.021479258216557,15,2,2,0.0,False,decayed_best,24,0.97
254,svr_with_target,2,1.9597833371287003,15,2,2,0.0,False,decayed_best,24,0.97
254,svr_with_target,3,1.9652503864498672,15,2,2,0.0,False,decayed_best,24,0.97
254,svr_with_target,4,2.182772968620568,15,2,2,0.0,False,decayed_best,24,0.97
254,svr_with_target,5,2.181266352680493,15,2,2,0.0,False,decayed_best,24,0.97
255,svr_with_target,1,1.9903338426181034,16,2,2,0.0,False,decayed_best,24,0.97
255,svr_with_target,2,1.9279397409166257,16,2,2,0.0,False,decayed_best,24,0.97
255,svr_with_target,3,1.933009160156488,16,2,2,0.0,False,decayed_best,24,0.97
255,svr_with_target,4,2.147980735735786,16,2,2,0.0,False,decayed_best,24,0.97
255,svr_with_target,5,2.1462783976236266,16,2,2,0.0,False,decayed_best,24,0.97
256,svr_with_target,1,1.9281216380010153,17,2,2,0.0,False,decayed_best,24,0.97
256,svr_with_target,2,1.868858438196155,17,2,2,0.0,False,decayed_best,24,0.97
256,svr_with_target,3,1.8737427707386096,17,2,2,0.0,False,decayed_best,24,0.97
256,svr_with_target,4,2.0875979213759006,17,2,2,0.0,False,decayed_best,24,0.97
256,svr_with_target,5,2.086195391637625,17,2,2,0.0,False,decayed_best,24,0.97
257,svr_with_target,1,1.930537866558483,18,2,2,0.0,False,decayed_best,24,0.97
257,svr_with_target,2,1.8534328716624142,18,2,2,0.0,False,decayed_best,24,0.97
257,svr_with_target,3,1.8578409391858175,18,2,2,0.0,False,decayed_best,24,0.97
257,svr_with_target,4,2.0978357795232663,18,2,2,0.0,False,decayed_best,24,0.97
257,svr_with_target,5,2.0965555738230135,18,2,2,0.0,False,decayed_best,24,0.97
258,svr_with_target,1,1.864778058432782,19,2,2,0.0,False,decayed_best,24,0.97
258,svr_with_target,2,1.7895818286437162,19,2,2,0.0,False,decayed_best,24,0.97
258,svr_with_target,3,1.7938833851382598,19,2,2,0.0,False,decayed_best,24,0.97
258,svr_with_target,4,2.0249891576219836,19,2,2,0.0,False,decayed_best,24,0.97
258,svr_with_target,5,2.023750274318836,19,2,2,0.0,False,decayed_best,24,0.97
259,svr_with_target,1,1.8098468500250229,20,2,2,0.0,False,decayed_best,24,0.97
259,svr_with_target,2,1.735554623222415,20,2,2,0.0,False,decayed_best,24,0.97
259,svr_with_target,3,1.7393707233710305,20,2,2,0.0,False,decayed_best,24,0.97
259,svr_with_target,4,1.9783848297137594,20,2,2,0.0,False,decayed_best,24,0.97
259,svr_with_target,5,1.9771829811600214,20,2,2,0.0,False,decayed_best,24,0.97
260,svr_with_target,1,1.7912501801474812,21,2,2,0.0,False,decayed_best,24,0.97
