block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net,1,1.1575591430336174,20,180,181,200
block1,elastic_net,2,1.156818003632471,20,180,181,200
block1,elastic_net,3,1.1496195443870232,20,180,181,200
block1,elastic_net,4,1.0952141848342447,20,180,181,200
block1,elastic_net,5,1.0085875679857614,20,180,181,200
block1,elastic_net,6,1.065157435297319,20,180,181,200
block1,elastic_net,7,1.0927638467189806,20,180,181,200
block1,elastic_net,8,1.1573963143215016,20,180,181,200
block1,elastic_net,9,1.1551945524177214,20,180,181,200
block1,elastic_net,10,1.1339179916716258,20,180,181,200
block1,elastic_net,11,0.9952305920988443,20,180,181,200
block1,elastic_net,12,1.0780100688528422,20,180,181,200
block1,elastic_net,13,1.0967703222748997,20,180,181,200
block1,elastic_net,14,1.0967703222748997,20,180,181,200
block1,elastic_net,15,1.157233310727831,20,180,181,200
block1,elastic_net,16,1.153580727571074,20,180,181,200
block1,elastic_net,17,1.1188122079143206,20,180,181,200
block1,elastic_net,18,0.9889610920464724,20,180,181,200
block1,elastic_net,19,1.0967703222748997,20,180,181,200
block1,elastic_net,20,1.0967703222748997,20,180,181,200
block1,elastic_net,21,1.0967703222748997,20,180,181,200
block1,elastic_net,22,1.1570706020959087,20,180,181,200
block1,elastic_net,23,1.1519709042867288,20,180,181,200
block1,elastic_net,24,1.101754967244519,20,180,181,200
block1,elastic_net,25,0.9897422996906328,20,180,181,200
block1,elastic_net,26,1.0967703222748997,20,180,181,200
block1,elastic_net,27,1.0967703222748997,20,180,181,200
block1,elastic_net,28,1.0967703222748997,20,180,181,200
block1,elastic_net,29,1.1569082524297936,20,180,181,200
block1,elastic_net,30,1.1503678324509503,20,180,181,200
block1,elastic_net,31,1.08528983426109,20,180,181,200
block1,elastic_net,32,0.9927098904021509,20,180,181,200
block1,elastic_net,33,1.0967703222748997,20,180,181,200
block1,elastic_net,34,1.0967703222748997,20,180,181,200
block1,elastic_net,35,1.0967703222748997,20,180,181,200
block1,elastic_net,36,1.1758955347931903,20,180,181,200
block1,elastic_net,37,1.1751535131112276,20,180,181,200
block1,elastic_net,38,1.1678175458323683,20,180,181,200
block1,elastic_net,39,1.10965218266827,20,180,181,200
block1,elastic_net,40,0.995777475659468,20,180,181,200
block1,elastic_net,41,1.0425697534222962,20,180,181,200
block1,elastic_net,42,1.0731452494141958,20,180,181,200
block1,elastic_net,43,1.175812064700056,20,180,181,200
block1,elastic_net,44,1.1743186909098315,20,180,181,200
block1,elastic_net,45,1.1592650286485695,20,180,181,200
block1,elastic_net,46,1.0288741840365014,20,180,181,200
block1,elastic_net,47,1.0235313893368387,20,180,181,200
block1,elastic_net,48,1.077898550166693,20,180,181,200
block1,elastic_net,49,1.077898550166693,20,180,181,200
block1,elastic_net,50,1.1757287391866376,20,180,181,200
block1,elastic_net,51,1.1734915887314863,20,180,181,200
block1,elastic_net,52,1.1502880986563044,20,180,181,200
block1,elastic_net,53,0.9711205300106206,20,180,181,200
block1,elastic_net,54,1.077898550166693,20,180,181,200
block1,elastic_net,55,1.077898550166693,20,180,181,200
block1,elastic_net,56,1.077898550166693,20,180,181,200
block1,elastic_net,57,1.1756470266959966,20,180,181,200
block1,elastic_net,58,1.1726612365578024,20,180,181,200
block1,elastic_net,59,1.1384945568485003,20,180,181,200
block1,elastic_net,60,0.9489721018249704,20,180,181,200
block1,elastic_net,61,1.077898550166693,20,180,181,200
block1,elastic_net,62,1.077898550166693,20,180,181,200
block1,elastic_net,63,1.077898550166693,20,180,181,200
block1,elastic_net,64,1.1755621717867668,20,180,181,200
block1,elastic_net,65,1.1718379990148369,20,180,181,200
block1,elastic_net,66,1.127901618392867,20,180,181,200
block1,elastic_net,67,0.9445047244165444,20,180,181,200
block1,elastic_net,68,1.077898550166693,20,180,181,200
block1,elastic_net,69,1.077898550166693,20,180,181,200
block1,elastic_net,70,1.077898550166693,20,180,181,200
block1,elastic_net,71,0.9673805561440212,20,180,181,200
block1,elastic_net,72,0.967314385423737,20,180,181,200
