block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net,169,168,0.9562959950541725,20,180,181,200
block1,elastic_net,170,169,0.9567246094733458,20,180,181,200
block1,elastic_net,171,170,0.9662829704584026,20,180,181,200
block1,elastic_net,172,171,0.9883938132884423,20,180,181,200
block1,elastic_net,173,172,1.0967703222748997,20,180,181,200
block1,elastic_net,174,173,1.0967703222748997,20,180,181,200
block1,elastic_net,175,174,1.0967703222748997,20,180,181,200
block1,elastic_net,176,175,0.9698498285426403,20,180,181,200
block1,elastic_net,177,176,0.9695445902082536,20,180,181,200
block1,elastic_net,178,177,0.9666946474901033,20,180,181,200
block1,elastic_net,179,178,0.9506230325096233,20,180,181,200
block1,elastic_net,180,179,0.9562870889589832,20,180,181,200
block1,elastic_net,181,180,1.042495191129925,20,180,181,200
block1,elastic_net,182,181,1.073636371612495,20,180,181,200
block1,elastic_net,183,182,0.969865866070607,20,180,181,200
block1,elastic_net,184,183,0.9697020895809241,20,180,181,200
block1,elastic_net,185,184,0.9683036621316458,20,180,181,200
block1,elastic_net,186,185,0.9602057174009692,20,180,181,200
block1,elastic_net,187,186,1.051323232919434,20,180,181,200
block1,elastic_net,188,187,1.0778985501666927,20,180,181,200
block1,elastic_net,189,188,1.0778985501666927,20,180,181,200
block1,elastic_net,190,189,0.9698817876672564,20,180,181,200
block1,elastic_net,191,190,0.9698636748540079,20,180,181,200
block1,elastic_net,192,191,0.9701445429545928,20,180,181,200
block1,elastic_net,193,192,0.958761412021793,20,180,181,200
block1,elastic_net,194,193,1.0778985501666927,20,180,181,200
block1,elastic_net,195,194,1.0778985501666927,20,180,181,200
block1,elastic_net,196,195,1.0778985501666927,20,180,181,200
block1,elastic_net,197,196,0.969897956038294,20,180,181,200
block1,elastic_net,198,197,0.9700293011563487,20,180,181,200
block1,elastic_net,199,198,0.9722098558265447,20,180,181,200
block1,elastic_net,200,199,0.9584664943735897,20,180,181,200
block1,elastic_net,201,200,1.0778985501666927,20,180,181,200
block1,elastic_net,202,201,1.0778985501666927,20,180,181,200
block1,elastic_net,203,202,1.0778985501666927,20,180,181,200
block1,elastic_net,204,203,0.9699138442118758,20,180,181,200
block1,elastic_net,205,204,0.9701971627666328,20,180,181,200
block1,elastic_net,206,205,0.9745309064501576,20,180,181,200
block1,elastic_net,207,206,0.9594397125237651,20,180,181,200
block1,elastic_net,208,207,1.0778985501666927,20,180,181,200
block1,elastic_net,209,208,1.0778985501666927,20,180,181,200
block1,elastic_net,210,209,1.0778985501666927,20,180,181,200
block1,elastic_net,211,210,18.927047703022026,20,180,181,200
block1,elastic_net,212,211,24.852627062490534,20,180,181,200
block1,elastic_net,213,212,23.592870092900924,20,180,181,200
block1,elastic_net,214,213,14.265372464553876,20,180,181,200
block1,elastic_net,215,214,3.7040433483446846,20,180,181,200
block1,elastic_net,216,215,1.6130361716191688,20,180,181,200
block1,elastic_net,217,216,1.0418556315001406,20,180,181,200
block1,elastic_net,218,217,17.079097805498026,20,180,181,200
block1,elastic_net,219,218,16.56876812797827,20,180,181,200
block1,elastic_net,220,219,16.67960343567321,20,180,181,200
block1,elastic_net,221,220,1.098256957466052,20,180,181,200
block1,elastic_net,222,221,0.9911524832519064,20,180,181,200
block1,elastic_net,223,222,1.0938120688922108,20,180,181,200
block1,elastic_net,224,223,1.0938120688922108,20,180,181,200
block1,elastic_net,225,224,16.038510252069155,20,180,181,200
block1,elastic_net,226,225,20.656238437569165,20,180,181,200
block1,elastic_net,227,226,19.251345859316867,20,180,181,200
block1,elastic_net,228,227,1.0067572940039053,20,180,181,200
block1,elastic_net,229,228,1.0946702170191076,20,180,181,200
block1,elastic_net,230,229,1.0938120688922108,20,180,181,200
block1,elastic_net,231,230,1.0938120688922108,20,180,181,200
block1,elastic_net,232,231,14.90447728017658,20,180,181,200
block1,elastic_net,233,232,24.786251793535687,20,180,181,200
block1,elastic_net,234,233,15.206571877236364,20,180,181,200
block1,elastic_net,235,234,0.9382906597648906,20,180,181,200
block1,elastic_net,236,235,1.0938120688922108,20,180,181,200
block1,elastic_net,237,236,1.0938120688922108,20,180,181,200
block1,elastic_net,238,237,1.0938120688922108,20,180,181,200
block1,elastic_net,239,238,15.835040540852736,20,180,181,200
block1,elastic_net,240,239,28.554123018747095,20,180,181,200
block1,elastic_net,241,240,12.112345680399118,20,180,181,200
block1,elastic_net,242,241,0.9167317747984184,20,180,181,200
block1,elastic_net,243,242,1.0938120688922108,20,180,181,200
block1,elastic_net,244,243,1.0938120688922108,20,180,181,200
block1,elastic_net,245,244,1.0938120688922108,20,180,181,200
block1,elastic_net,246,245,9.325017931037538,20,180,181,200
block1,elastic_net,247,246,21.265967192468125,20,180,181,200
block1,elastic_net,248,247,22.40395689079466,20,180,181,200
block1,elastic_net,249,248,12.442060948909088,20,180,181,200
block1,elastic_net,250,249,3.6347261197529903,20,180,181,200
block1,elastic_net,251,250,1.9442309007680652,20,180,181,200
block1,elastic_net,252,251,1.0998520574947324,20,180,181,200
block1,elastic_net,253,252,11.409071099217277,20,180,181,200
block1,elastic_net,254,253,16.365436245520726,20,180,181,200
block1,elastic_net,255,254,12.463782030632613,20,180,181,200
block1,elastic_net,256,255,1.1377355410635295,20,180,181,200
block1,elastic_net,257,256,1.022530225077365,20,180,181,200
block1,elastic_net,258,257,1.0767655669666252,20,180,181,200
block1,elastic_net,259,258,1.0767655669666252,20,180,181,200
block1,elastic_net,260,259,11.388030556132442,20,180,181,200
block1,elastic_net,261,260,19.713275302374257,20,180,181,200
block1,elastic_net,262,261,10.381761464712653,20,180,181,200
