block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net,1513,1512,3.520282756390587,20,180,181,200
block1,elastic_net,1514,1513,1.0034814302040085,20,180,181,200
block1,elastic_net,1515,1514,1.0151750962292754,20,180,181,200
block1,elastic_net,1516,1515,0.9391881885127512,20,180,181,200
block1,elastic_net,1517,1516,0.8558113626170378,20,180,181,200
block1,elastic_net,1518,1517,1.0767655669666252,20,180,181,200
block1,elastic_net,1519,1518,1.0767655669666252,20,180,181,200
block1,elastic_net,1520,1519,2.375110784125513,20,180,181,200
block1,elastic_net,1521,1520,1.0789832005159903,20,180,181,200
block1,elastic_net,1522,1521,1.093916160392394,20,180,181,200
block1,elastic_net,1523,1522,0.88506288205344,20,180,181,200
block1,elastic_net,1524,1523,1.0741667329597935,20,180,181,200
block1,elastic_net,1525,1524,1.0767655669666252,20,180,181,200
block1,elastic_net,1526,1525,1.0767655669666252,20,180,181,200
block1,elastic_net,1527,1526,1.4890964066217043,20,180,181,200
block1,elastic_net,1528,1527,1.1635984095110454,20,180,181,200
block1,elastic_net,1529,1528,1.064590242194514,20,180,181,200
block1,elastic_net,1530,1529,0.8539310327344464,20,180,181,200
block1,elastic_net,1531,1530,1.0767655669666252,20,180,181,200
block1,elastic_net,1532,1531,1.0767655669666252,20,180,181,200
block1,elastic_net,1533,1532,1.0767655669666252,20,180,181,200
block1,elastic_net,1534,1533,0.995284329888527,20,180,181,200
block1,elastic_net,1535,1534,1.1761722117048823,20,180,181,200
block1,elastic_net,1536,1535,1.0246594250520877,20,180,181,200
block1,elastic_net,1537,1536,0.8256077316760475,20,180,181,200
block1,elastic_net,1538,1537,1.0767655669666252,20,180,181,200
block1,elastic_net,1539,1538,1.0767655669666252,20,180,181,200
block1,elastic_net,1540,1539,1.0767655669666252,20,180,181,200
block1,elastic_net,1541,1540,0.9762713379909389,20,180,181,200
block1,elastic_net,1542,1541,0.976563744926483,20,180,181,200
block1,elastic_net,1543,1542,0.9795717724165087,20,180,181,200
block1,elastic_net,1544,1543,1.005619006316526,20,180,181,200
block1,elastic_net,1545,1544,1.050740740990414,20,180,181,200
block1,elastic_net,1546,1545,1.0835887783501519,20,180,181,200
block1,elastic_net,1547,1546,1.0926345798272512,20,180,181,200
block1,elastic_net,1548,1547,0.9762874179163735,20,180,181,200
block1,elastic_net,1549,1548,0.9767292500944493,20,180,181,200
block1,elastic_net,1550,1549,0.9816442080808482,20,180,181,200
block1,elastic_net,1551,1550,1.0339354622508679,20,180,181,200
block1,elastic_net,1552,1551,1.0809544078742646,20,180,181,200
